5ee96c01360d930a489db238,小说,历史,0
100.0,0,2020，宋剧扎堆，想更多地了解《清平乐》中的宋朝美学、朝廷政治、文人墨客，就读《大宋王朝》。《大宋王朝》荣获姚雪垠长篇历史小说奖， 写尽了一个朝代的繁华与沧桑 ，一群有识之士的抗争与落寞。,出版时间:2016年03月,长江文艺出版社,国际标准书号ISBN：9787535485991,历史,大宋王朝（全三册）（长篇历史小说经典书系）,小说,颜廷瑞,91.5,http://img3m7.ddimg.cn/26/27/23912387-1_w_2.jpg,5ee96c02360d930a489db239
379.9,0,讲透红顶商人胡雪岩的天才与宿命，影响中国一代企业家的经典。马云读了两遍，强烈推荐！胡雪岩传记小说至高经典，其他版本大多是这套书的删减版或改编版。“有井水处有金庸，有村镇处有高阳。”读客熊猫君出品,出版时间:2018年12月,文汇出版社,国际标准书号ISBN：9787549627035,历史,高阳版《胡雪岩全传》（珍藏版大全集套装全6册）（讲透红顶商人胡雪岩的天才与宿命，影响中国一代企业家的经典！）,小说,高阳读客文化,372.3,http://img3m8.ddimg.cn/90/1/25860078-1_w_9.jpg,5ee96c03360d930a489db23a
25.0,0,,出版时间:2014年01月,北京十月文艺出版社,国际标准书号ISBN：9787530213506,历史,敦煌（引领无数读者奔赴敦煌莫高窟，惊天动地讲述藏经洞千古之谜）,小说,井上靖新经典,18.8,http://img3m1.ddimg.cn/16/35/23390251-1_w_1.jpg,5ee96c03360d930a489db23b
5ee96c04360d930a489db23c,小说,历史,0
59.8,0,《明朝那些事儿：漫画版》作者狐周周再书明朝故事，撕掉天启皇帝的误解向标签，用史料解密晚明宫廷秘史！,出版时间:2019年02月,广东旅游出版社,国际标准书号ISBN：9787557014513,历史,春明梦余录（随书附赠书签，随机掉落作者亲笔签名版）,小说,狐周周,57.3,http://img3m4.ddimg.cn/96/5/26511504-1_w_3.jpg,5ee96c05360d930a489db23d
42.0,0,孙甘露、止庵诚意推荐。呈现历史背面的春秋世界。捕捉《左传》里的诗意微光，关注乱世中的个人命运。,出版时间:2020年02月,上海人民出版社,国际标准书号ISBN：9787208161795,历史,隐,小说,赵松,40.3,http://img3m2.ddimg.cn/49/23/28508782-1_w_6.jpg,5ee96c06360d930a489db23e
88.0,0,,出版时间:2018年12月,中国华侨出版社,国际标准书号ISBN：9787511377456,历史,流血的仕途 : 李斯与秦帝国（全2册纪念版）,小说,曹昇,78.7,http://img3m8.ddimg.cn/64/26/26435638-1_w_2.jpg,5ee96c07360d930a489db23f
38.0,0,（畅销二十年经典。*重修足本，增补近10万评点文字。增为四册，独此一版。中央工委*受国家干部喜欢的10本书第三名。中纪委推荐全国干部阅读。）,出版时间:2016年03月,北京联合出版公司,国际标准书号ISBN：9787550269200,历史,大清名相曾国藩（二）：虎步维艰,小说,唐浩明,38.0,http://img3m3.ddimg.cn/27/24/23914863-1_w_6.jpg,5ee96c08360d930a489db240
156.0,0,权书史书商书三书合一 平均每个日本人手中有3册《德川家康》 并附赠独版书签,出版时间:2015年06月,南海出版公司,国际标准书号ISBN：9787544277143,历史,德川家康第二辑 双雄罢兵（全4册）,小说,山冈庄八王维幸清光李超楠,156.0,http://img3m2.ddimg.cn/95/4/23701982-1_w_1.jpg,5ee96c09360d930a489db241
